#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
561600;29545.98438;29361;24560.51367;29093.79492
565200;26657.14648;26691.95313;23958.625;25694.82617
568800;26314.24609;25785.92188;22929.06836;25206.09375
572400;26610.5;24898.31641;17161.26953;21943.6875
576000;24145.9043;22651.95508;19190.69336;25410.74219
579600;22604.75;22460.71484;18503.12305;22648.85156
583200;24930.62109;23121.76953;19934.91406;24314.76563
586800;24808.28516;21867.52344;22998.20313;25399.75586
590400;25429.15039;25479.55664;23010.05859;26342.19141
594000;22069.27344;22996.9082;14889.07227;23869.62891
597600;23981.21094;21294.21094;21733.66602;25453.53125
601200;22166.33203;24172.26172;21100.76367;24765.27344
604800;23067.60742;23179.70508;23578.10938;25292.87305
608400;24114.22461;23008.66602;23685.70117;26082.04492
612000;24553.95703;23493.60938;25849.31055;25572.32031
615600;19834.31445;21080.49023;21331.07617;21039.32227
619200;18597.01953;17672.64453;20665.68359;19589.6543
622800;14548.67188;21604.9082;19069.68164;14827.26172
626400;20981.08594;21130.21484;22795.39258;22036.16016
630000;22323.06641;22424.3418;24293.99414;23183.50977
633600;24532.2168;22866.86914;23765.43164;24315.02148
637200;24474.17773;22190.33789;24148.09766;22321.69141
640800;29978.51367;25216.88672;27523.3457;29569.4375
644400;26472.57422;28582.75391;27600.67578;29679.56055
648000;27990.65234;28659;23909.20313;27798.37109
651600;24636.41992;28128.25391;26406.05859;27389.53906
655200;28709.37695;28294.71289;26214.63477;28154.13867
658800;28191.21484;27745.05273;25351.10938;27195.58008
662400;27266.54688;27141.42188;25664.31055;28192.26367
666000;25155.65625;25773.625;23217.31836;26255.98828
669600;25698.68945;26222.24609;23969.67969;26087.76563
673200;24983.83203;25215.94141;23643.8125;26134.20703
676800;26173.13477;27330.47461;25489.15039;26885.06641
680400;23278.2832;25321.14063;23660.16016;25002.21094
684000;26470.36133;23527.69336;23420.375;25648.80273
687600;23123.97852;24056.58789;22930.35547;24531.74023
691200;22416.55273;21968.10547;21226.40625;24297.2793
694800;23702.81055;23768.28906;23534.14258;24955.81055
698400;25185.17188;24035.74805;25666.68945;23971.90234
702000;19679.58789;21413.02148;21045.01367;20544.77734
705600;18003.18359;16770.12305;19766.73438;18301.45508
709200;14296.3457;20541.09961;17983.10938;13966.42969
712800;20303.94922;20591.28125;21408.9375;21064.79883
716400;20798.8457;20723.02734;22458.61133;21535.41406
720000;22881.48828;20820.34961;22193.48047;22523.05664
723600;22412.75586;21296.79883;22232.62891;21131.98438
