#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
316800;2505.815674;1671.798584;1350.804932;26584.06836;25225.06445;2003.363525;1206.296509;2244.421631
320400;231.5588379;0;0;19664.41211;21058.0332;181.1189117;0;5.01645565
324000;0;0;0;19576.81641;20220.89648;0;0;77.79245758
327600;0;0;0;21441.06055;21692.44922;0;0;20.25873947
331200;261.0571899;1896.337036;0;22699.99023;24906.96875;295.344635;0;80.87167358
334800;103.259903;566.8872681;621.59729;20914.35938;21727.84766;255.436676;0;864.4981689
338400;2722.661133;2801.682617;1471.779541;23846.16797;24138.52148;3639.634766;2297.011963;1941.595093
342000;1965.737549;2626.30542;899.6776733;22087.41211;22983.67383;2622.135254;947.7058105;1723.135132
345600;1883.825684;2022.944092;1511.55542;21820.40234;21453.47266;2432.878418;809.6842041;1266.511353
349200;3265.20166;3105.578613;2313.894043;23065.51953;23701.05664;3597.3125;2104.366211;1198.146118
352800;3198.325928;2563.099121;3343.809082;24417.77734;22343.91016;1451.74292;2307.013428;3579.040283
356400;1380.880859;561.8449707;620.52771;20859.05664;14594.59961;2000.596069;1906.803467;2028.954102
360000;174.118927;498.0668335;664.5888672;19390.31055;20308.00977;1687.307373;4161.776855;1019.592529
363600;627.9973755;1440.219238;2020.454834;8110.330078;15683.04883;2366.396973;3930.940918;3246.286621
367200;1519.379028;2619.201172;2338.50708;21295.80469;21743.07227;3399.429443;3520.61792;2882.250488
370800;3159.843506;3559.807129;3411.169434;23477.57617;23260.7168;3254.571533;4001.227539;4142.292969
374400;4535.702637;3948.191406;3005.783447;25750.70703;25074.2793;4200.179688;5024.806152;4439.336426
378000;3600.746826;3504.371338;3527.290039;24469.01758;24136.27148;3744.253174;4047.942627;5870.620605
381600;10532.57617;9917.55957;7153.268066;33107.05859;35542.92578;6081.985352;6873.141602;8525.208008
385200;8575.297852;7989.149414;5496.290039;32137.16211;32223.40039;5538.556641;3782.437012;8272.972656
388800;6741.431641;9791.483398;7748.410156;30717.05273;34315.37891;9293.330078;5816.065918;5928.086426
392400;4778.506348;4314.685059;4729.662598;29370.88086;28471.69531;7353.685547;3854.751709;5544.98584
396000;6403.670898;6316.349121;4416.978516;31494.01563;31727.81055;5860.811523;5871.935059;5675.918457
399600;2912.482178;3023.960693;2888.269775;27426.27539;27997.92578;3622.487305;3750.947998;3903.244873
403200;2954.094482;2579.227783;1763.411499;28121.32227;27413.8457;2969.956787;2138.664063;2708.324951
406800;710.1918335;77.50494385;30.71814346;22678.56445;23088.05273;484.9842834;419.8106995;349.3744812
410400;0;0;0;21611.52539;23257.28516;206.1318817;0;417.811615
414000;0;26.59574127;0;24062.56445;23911.64258;160.5290985;0;1663.123413
417600;58.6896286;4228.348145;1697.370605;24906.20703;27808.83594;1168.175293;0;213.9326477
421200;241.9898987;1338.117065;241.9670715;24669.51367;23146.51367;944.9417114;1005.358459;1146.811035
424800;4162.500488;2275.340576;3517.30957;27696.98242;24417.86133;3304.55249;2882.669434;1267.541138
428400;2252.747559;2472.223633;4349.378418;24649.30664;20361.17578;835.6203003;2402.906006;1076.363647
432000;2225.62793;1214.337646;2355.661865;24694.02344;20186.59766;1825.27832;1281.287964;687.6189575
435600;3209.718262;1608.035522;2643.764648;25772.89648;24258.91797;1355.468262;3376.077393;597.5485229
439200;3144.927734;2426.851318;2772.193359;25736.10938;25008.94727;1229.129395;3548.533936;2138.811035
442800;943.0452881;696.559082;735.2189941;21894.0293;17832.80859;1589.372925;2193.177979;2191.700928
446400;141.6207428;354.0411682;677.5490723;19618.95508;21118.58594;792.4376221;2679.243896;454.6517334
450000;847.4485474;1115.022461;1788.203735;8128.016113;15637.42676;2068.842529;3219.737305;2137.939209
453600;1823.312988;2216.066162;1481.878052;21861.16602;21423.33203;3160.806152;3180.811035;2770.148438
457200;3532.814941;3284.430664;3963.077637;24027.00586;23668.06445;3238.109131;3803.05127;3623.166016
460800;5118.844238;3870.141357;2892.797607;26016.75391;25186.54883;4054.328125;4532.349609;4429.994629
464400;3595.30542;3149.506348;3280.183105;24573.81445;24170.3125;3493.516113;4467.445801;5617.693359
468000;10266.86816;9862.430664;7011.963379;32537.37109;34892.77734;6142.696777;6947.926758;7966.748047
471600;9894.902344;8446.802734;8126.384277;32889.98047;32195.03516;5872.6875;3950.154297;8056.915527
475200;7376.936035;10545.80664;10620.18457;31750.05078;34789.11719;8974.951172;6518.65332;5382.384766
478800;5234.203125;4361.480469;4932.106445;28735.76953;28441.27539;6071.093262;2466.984375;3500.025146
482400;4806.700684;4014.484863;2841.287109;28629.38281;26921.26367;3795.334961;3723.247803;4587.875977
486000;3010.391357;323.2594299;1911.141968;23879.53906;18051.68945;2644.183105;3029.617676;2506.606934
489600;3113.439697;1990.835815;1814.894409;27551.68945;21378.32422;1627.390381;2412.221924;1467.426147
493200;2122.822021;1740.854858;1264.384644;24156.64648;22295.80664;1063.765381;3479.499756;1090.784546
496800;3087.494141;1689.484253;2759.008057;26044.31445;24764.18945;2251.393311;3981.689941;903.5765991
500400;5368.190918;2319.990967;2101.902344;28443.26953;26586.125;1069.723022;3796.216553;2321.453369
