#1;0;0;0;0;0;0;0;0
"#DHW profiles as used in the project IntegraNet (GWI/UMSICHT) based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#Kind_ID;6WE_27;6WE_24;6WE_19;6WE_1;6WE_29;6WE_15;6WE_11;6WE_10
double default(105121,9);;;;;;;;
81900;0;0;0;0;0;0;0;0
82200;0;0;0;0;2095;0;0;670.4
82500;0;0;0;0;0;0;2095;879.9
82800;0;0;0;0;0;0;0;335.2
83100;0;0;0;0;0;0;0;4190
83400;0;0;0;0;0;0;7542;0
83700;3352;0;2095;2095;0;0;13408;0
84000;15503;0;0;2095;0;0;0;104.75
84300;0;0;0;16760;2095;0;0;838
84600;0;0;0;0;0;0;0;0
84900;0;0;0;0;0;0;0;0
85200;4190;0;0;0;0;0;0;0
85500;0;0;0;0;0;0;0;0
85800;0;0;0;0;0;0;0;0
86100;0;0;0;0;0;0;0;0
86400;0;0;0;0;0;0;0;2095
86700;0;0;0;0;0;0;0;0
87000;0;0;0;0;0;0;0;0
87300;0;0;0;0;0;0;0;0
87600;0;0;0;0;0;0;0;0
87900;0;0;0;0;0;0;0;0
88200;0;0;0;0;0;0;0;0
88500;0;0;0;0;0;0;0;0
88800;0;0;0;0;0;0;0;0
89100;0;0;0;0;0;0;0;0
89400;0;0;0;2095;0;0;0;0
89700;0;0;0;0;0;0;0;0
90000;0;0;0;0;0;0;0;0
90300;0;0;0;0;0;0;0;0
90600;0;0;0;0;0;13408;0;0
90900;0;0;0;0;0;3352;0;0
91200;0;0;0;0;0;2095;0;0
91500;0;0;0;0;0;0;0;0
91800;0;0;0;0;0;0;0;0
92100;0;0;0;0;0;0;0;0
92400;0;16760;0;0;0;0;0;0
92700;0;0;0;0;0;0;0;0
93000;0;0;0;0;0;0;0;0
93300;0;0;0;0;0;0;0;0
93600;0;0;0;0;0;0;0;0
93900;2095;2095;0;0;0;0;0;0
94200;0;0;0;0;0;0;0;0
94500;0;0;0;0;0;0;0;0
94800;0;0;0;0;0;0;0;104.75
95100;0;0;0;0;0;0;0;2199.75
95400;0;0;0;0;0;0;0;502.8
95700;0;0;0;0;0;0;0;838
96000;0;0;0;0;0;0;0;104.75
96300;0;0;0;0;0;0;0;0
96600;0;0;0;0;0;0;0;0
96900;0;0;0;0;0;0;0;0
97200;0;0;0;0;0;0;0;0
97500;0;0;0;0;0;0;0;0
97800;0;0;0;0;0;0;0;0
98100;0;0;0;0;0;0;0;0
98400;0;0;0;0;0;0;0;0
98700;0;0;0;0;0;0;0;0
99000;0;0;0;0;0;0;0;0
99300;0;0;0;0;0;0;0;0
99600;0;0;0;0;0;0;0;0
99900;0;0;0;0;0;0;0;0
100200;0;0;0;0;0;0;0;0
100500;0;0;0;0;0;0;0;0
100800;0;0;0;0;0;0;0;0
101100;0;0;0;0;0;0;0;0
101400;0;0;0;0;0;0;0;0
101700;0;0;0;0;0;0;0;104.75
102000;0;0;0;0;0;0;0;0
102300;0;0;0;0;0;0;0;0
102600;0;0;0;0;0;0;0;0
102900;0;0;0;0;0;0;0;0
103200;0;0;0;0;0;0;0;0
103500;0;0;0;0;0;0;0;0
103800;0;0;0;0;0;0;0;0
104100;0;0;0;0;0;0;0;0
104400;0;0;0;0;0;0;0;0
104700;0;0;0;0;0;0;0;0
105000;0;0;0;0;0;0;0;0
105300;0;0;0;0;0;0;0;0
105600;0;0;0;0;0;0;0;0
105900;0;0;0;0;0;0;0;0
106200;0;0;0;0;0;0;0;0
106500;0;0;0;0;0;0;0;0
106800;0;0;0;0;0;0;0;0
107100;0;0;2095;0;2095;0;0;0
107400;0;0;0;0;0;0;0;0
107700;0;0;0;0;0;0;0;0
108000;0;0;0;0;0;0;0;0
108300;0;0;0;0;0;0;0;0
108600;0;0;0;0;0;0;0;0
108900;0;0;0;0;0;0;0;0
109200;0;0;0;0;0;0;0;104.75
109500;0;0;0;0;0;0;0;335.2
109800;0;0;0;0;0;0;0;502.8
110100;0;0;0;0;2095;0;0;104.75
110400;0;2095;0;0;2095;0;0;0
110700;0;13408;0;0;0;0;0;0
111000;2095;3352;0;0;0;0;0;0
111300;0;0;0;0;0;0;0;209.5
111600;0;2095;0;0;2095;0;0;104.75
111900;0;0;0;0;0;0;0;0
112200;0;2095;0;0;0;0;0;104.75
112500;0;0;0;0;0;0;0;0
112800;0;2095;0;0;0;0;0;2262.6
113100;2095;0;8380;0;0;0;0;775.15
113400;0;0;34358;13408;2095;0;0;0
113700;0;0;24302;3352;0;0;0;0
114000;2095;0;20950;4190;4190;0;0;314.25
114300;0;0;12570;0;2095;0;0;0
114600;0;0;2095;0;2095;13408;0;0
114900;0;0;4190;7681.8;13408;3352;0;279.34
115200;0;0;0;5586.8;5447;2095;0;2374.34
115500;0;0;0;0;0;0;0;0
115800;0;0;0;0;3352;0;0;139.67
116100;0;0;0;0;15503;0;2095;963.71
116400;2793.4;0;0;0;0;2793.4;0;1417.62
116700;8380.2;0;18855;0;18855;8380.2;0;921.81
117000;0;0;0;0;0;2095;0;502.8
117300;0;0;0;0;0;6704;0;104.75
117600;0;0;0;0;0;10056;0;942.75
117900;0;0;6704;0;0;3352;6704;2702.55
118200;0;0;12151;2095;0;13408;12151;998.63
118500;0;2095;2095;0;0;2095;2095;104.75
118800;0;0;5586.8;5586.8;0;2095;0;104.75
119100;0;0;8380.2;10475.2;0;0;4190;2199.75
119400;3352;2095;8380.2;27235.2;0;0;0;0
119700;15503;2095;2095;0;0;0;13268.6;104.75
120000;0;0;0;0;0;0;0;670.4
120300;2095;0;0;13408;0;2095;0;1424.61
120600;5586.8;0;5586.8;5447;0;0;0;349.17
120900;7681.8;0;5586.8;0;0;0;12151;2304.5
121200;0;2095;0;0;0;0;6704;0
121500;0;0;0;0;0;0;0;670.4
121800;0;0;0;0;0;0;0;167.6
122100;0;11173.6;0;0;0;0;2095;104.75
122400;0;0;11173.6;0;0;0;11173.6;419.01
122700;2095;0;11173.6;0;0;0;0;642.47
123000;0;0;0;2095;0;8380.2;0;335.2
123300;0;0;0;0;0;11173.6;3352;0
123600;0;0;0;16760;0;2793.4;13408;663.43
123900;0;2095;0;0;0;0;0;0
124200;0;2793.4;0;0;0;0;0;0
124500;0;8380.2;0;11173.6;0;7681.8;0;2095
124800;0;0;0;0;0;5586.8;0;0
125100;0;0;0;0;0;0;5586.8;0
125400;0;0;0;8380.2;0;0;5586.8;419.01
125700;0;11173.6;0;2793.4;0;2095;0;139.67
126000;2095;0;0;0;0;0;11173.6;0
126300;2095;0;2095;0;0;2095;0;0
126600;0;0;0;0;0;0;0;0
126900;13408;0;0;11173.6;0;0;0;663.43
127200;3352;0;0;0;0;0;0;0
127500;4888.4;0;2095;0;0;2095;0;558.68
127800;8380.2;0;0;0;0;11173.6;0;663.43
128100;0;0;0;0;0;0;0;0
128400;0;0;0;0;0;0;2095;0
128700;2095;0;0;0;0;0;16760;0
129000;2095;0;0;0;0;0;0;0
129300;0;0;0;0;0;0;0;0
129600;15503;0;0;0;0;0;2095;0
129900;5447;0;0;0;0;2793.4;0;2095
130200;0;0;0;0;0;8380.2;0;13408
130500;2095;0;0;0;0;0;0;3352
130800;0;0;0;0;0;5586.8;0;0
131100;0;0;0;0;0;5586.8;0;2793.4
131400;0;0;0;0;0;0;0;8380.2
131700;0;0;0;0;0;0;0;0
132000;0;0;0;11173.6;0;0;0;558.68
132300;6704;0;2793.4;2793.4;0;0;0;0
132600;10056;0;8380.2;10475.2;0;0;0;104.75
132900;0;0;2095;6704;0;0;0;0
133200;2095;0;0;10056;0;0;0;0
133500;0;0;0;6704;0;0;0;2095
133800;0;0;0;14246;0;0;0;314.25
134100;0;0;0;11173.6;0;0;0;16760
134400;0;0;0;0;0;0;0;0
134700;0;0;0;0;0;0;0;0
135000;0;0;0;0;0;0;0;558.68
135300;0;0;0;0;0;0;0;0
135600;0;0;0;0;0;0;0;0
135900;0;0;0;0;0;0;0;0
136200;0;0;0;0;0;0;0;0
136500;0;0;0;0;0;0;0;0
136800;0;0;6704;0;0;0;0;0
137100;0;0;12151;0;0;0;0;2095
137400;11173.6;0;0;0;0;0;0;1501.43
137700;0;0;0;0;0;0;0;0
138000;0;2095;0;0;0;0;0;0
138300;0;13408;0;0;0;0;0;3456.75
138600;0;3352;0;0;0;0;0;13408
138900;0;0;0;0;0;0;0;0
