#1	
double	default(8784, 2) # Time [s], Temperature [°C], data from Hamburg-Fuhlsbuettel (Latitude:53.633; Longitude:9.988) in 2012, station height 11m. Source: DeutscherWetterdienstDWD2015
1962000	1.9
1965600	2.4
1969200	2.6
1972800	2.7
1976400	2.8
1980000	2.8
1983600	2.6
1987200	2.8
1990800	2.8
1994400	2.7
1998000	2.4
2001600	2.3
2005200	2.3
2008800	2.4
2012400	2.4
2016000	2.1
2019600	1.9
2023200	2
2026800	2.4
2030400	2.2
2034000	2.4
2037600	2.8
2041200	3
2044800	2.7
2048400	2.5
2052000	2.2
2055600	2
2059200	1.9
2062800	1.1
2066400	0.9
2070000	-0.5
2073600	-0.6
2077200	-1.3
2080800	-1.8
2084400	-2.3
2088000	-2.5
2091600	-1.9
2095200	-1.6
2098800	-1.4
2102400	-1.4
2106000	-1
2109600	-0.1
2113200	0.6
2116800	0.8
2120400	0.6
2124000	0.1
2127600	-1
2131200	-2
2134800	-2.3
2138400	-2.6
2142000	-2.9
2145600	-2.7
2149200	-2.8
2152800	-2.6
2156400	-2.7
2160000	-2.5
2163600	-2.3
2167200	-2
2170800	-2.3
2174400	-2.6
2178000	-2.6
2181600	-2.7
2185200	-2.5
2188800	-2.3
2192400	-1.5
2196000	-0.6
2199600	0.2
2203200	0.9
2206800	1.3
2210400	1.1
2214000	0.7
2217600	-0.1
2221200	-0.6
2224800	-0.6
2228400	-0.5
2232000	-0.5
2235600	-0.4
2239200	-0.5
2242800	-0.5
2246400	-0.6
2250000	-0.5
2253600	-0.8
2257200	-1.9
2260800	-1.8
2264400	-2
2268000	-2.1
2271600	-2
2275200	-1.7
2278800	-1.6
2282400	-1.4
2286000	-1.2
2289600	-1
2293200	-0.8
2296800	-0.7
2300400	-0.4
2304000	-0.3
2307600	-0.2
2311200	-0.2
2314800	-0.5
2318400	-0.6
2322000	-0.5
2325600	-0.7
2329200	-0.6
2332800	-0.7
2336400	-1
2340000	-1.1
2343600	-1.2
2347200	-1.5
2350800	-1.9
2354400	-1.8
2358000	-1.7
2361600	-1.8
2365200	-1.3
2368800	-1.1
2372400	-0.9
2376000	-0.6
2379600	-0.5
2383200	-0.3
2386800	-0.7
2390400	-1.7
2394000	-2.4
2397600	-2.7
2401200	-3
2404800	-3.1
2408400	-3.2
2412000	-3.1
2415600	-3.5
2419200	-3.8
2422800	-4.1
2426400	-4.1
2430000	-4.2
2433600	-4.5
2437200	-4.4
2440800	-4.4
2444400	-4.4
2448000	-4.4
2451600	-4.3
2455200	-4
2458800	-3.7
2462400	-3.5
2466000	-3.1
2469600	-2.9
2473200	-3
2476800	-3.3
2480400	-3.3
2484000	-3.4
2487600	-3.8
2491200	-4.2
2494800	-4.6
2498400	-5
2502000	-5.3
2505600	-5.4
2509200	-5.5
2512800	-5.8
2516400	-5.7
2520000	-5.8
2523600	-6.4
2527200	-6.7
2530800	-6.8
2534400	-6.9
2538000	-6.6
2541600	-6
2545200	-5.1
2548800	-3.9
2552400	-2.7
2556000	-2.1
2559600	-2.3
2563200	-3.1
2566800	-3.9
2570400	-4.3
2574000	-4.3
2577600	-4.8
2581200	-5.6
2584800	-6
2588400	-6.4
2592000	-6.8
2595600	-7
2599200	-7.2
2602800	-7.6
2606400	-7.9
2610000	-7.9
2613600	-8.3
2617200	-8.4
2620800	-8.5
2624400	-8.3
2628000	-7.4
2631600	-6.7
2635200	-6
2638800	-5.3
2642400	-4.9
2646000	-4.8
2649600	-5
2653200	-5.3
2656800	-5.2
2660400	-5.5
2664000	-5.1
2667600	-5.8
2671200	-6.3
2674800	-7.1
2678400	-7.3
2682000	-7.3
2685600	-7.6
2689200	-7.9
2692800	-7.9
2696400	-8.2
2700000	-7.7
2703600	-8
2707200	-6.8
2710800	-4.6
2714400	-3.5
2718000	-3
2721600	-2.2
2725200	-2.4
2728800	-2.6
2732400	-3
2736000	-3.7
2739600	-4.4
2743200	-5.1
2746800	-5.3
2750400	-5.7
2754000	-6.2
2757600	-6.8
2761200	-7.4
2764800	-7.7
2768400	-8
2772000	-9.1
2775600	-9.6
2779200	-10.2
2782800	-10.9
2786400	-12.3
2790000	-12.6
2793600	-11.8
2797200	-9.2
2800800	-7.1
2804400	-5.2
2808000	-4.8
2811600	-4.8
2815200	-4.9
2818800	-4.9
2822400	-4.8
2826000	-5.5
2829600	-7.4
2833200	-6.2
2836800	-6.4
2840400	-7.6
2844000	-9.6
2847600	-8.2
2851200	-8
2854800	-7.2
2858400	-6.9
2862000	-6.7
2865600	-6.5
2869200	-6.4
2872800	-6.8
2876400	-7.3
2880000	-7.6
2883600	-6.7
2887200	-6.2
2890800	-5.3
2894400	-4.6
2898000	-4.3
2901600	-4.7
2905200	-5.2
2908800	-5.9
2912400	-6.8
2916000	-8
2919600	-10.3
2923200	-11.3
2926800	-12.4
2930400	-13.3
2934000	-13.4
2937600	-14
2941200	-13.3
2944800	-13.9
2948400	-12.6
2952000	-10.9
2955600	-10.1
