#1;T_K
#Temperature for Duesseldorf 2017 1 m depth;
#Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
double default(8761,2);
2170800;276.25
2174400;276.25
2178000;276.25
2181600;276.25
2185200;276.25
2188800;276.25
2192400;276.25
2196000;276.25
2199600;276.25
2203200;276.25
2206800;276.25
2210400;276.25
2214000;276.25
2217600;276.25
2221200;276.25
2224800;276.25
2228400;276.25
2232000;276.25
2235600;276.25
2239200;276.25
2242800;276.25
2246400;276.25
2250000;276.25
2253600;276.15
2257200;276.25
2260800;276.25
2264400;276.25
2268000;276.15
2271600;276.15
2275200;276.15
2278800;276.15
2282400;276.15
2286000;276.15
2289600;276.15
2293200;276.15
2296800;276.15
2300400;276.15
2304000;276.15
2307600;276.15
2311200;276.15
2314800;276.15
2318400;276.15
2322000;276.15
2325600;276.15
2329200;276.15
2332800;276.15
2336400;276.15
2340000;276.15
2343600;276.15
2347200;276.05
2350800;276.05
2354400;276.05
2358000;276.05
2361600;276.05
2365200;276.05
2368800;276.05
2372400;276.05
2376000;276.05
2379600;276.05
2383200;276.05
2386800;276.05
2390400;276.05
2394000;276.05
2397600;276.05
2401200;276.05
2404800;276.05
2408400;276.05
2412000;276.05
2415600;276.05
2419200;276.05
2422800;276.05
2426400;276.05
2430000;276.05
2433600;276.05
2437200;276.05
2440800;275.95
2444400;275.95
2448000;275.95
2451600;275.95
2455200;275.95
2458800;275.95
2462400;275.95
2466000;275.95
2469600;275.95
2473200;275.95
2476800;275.95
2480400;275.95
2484000;275.95
2487600;275.95
2491200;275.95
2494800;275.95
2498400;275.95
2502000;275.95
2505600;275.95
2509200;275.95
2512800;275.95
2516400;275.95
2520000;275.95
2523600;275.95
2527200;275.95
2530800;275.95
2534400;275.95
2538000;275.95
2541600;275.95
2545200;275.95
2548800;275.95
2552400;275.95
2556000;275.95
2559600;275.95
2563200;275.95
2566800;275.95
2570400;275.95
2574000;275.95
2577600;275.95
