#1	
#SLP with Hamburg TMY, scaled to 35 MWh yearly demand
double default(8761,2)	
1688400	6413.754865
1692000	6356.2324
1695600	6341.851775
1699200	6370.61299
1702800	6428.135455
1706400	6701.36719
1710000	6931.45705
1713600	7075.263195
1717200	7060.88257
1720800	6902.6958
1724400	6313.090525
1728000	5450.25355
1731600	3997.811335
1735200	4044.199705
1738800	4169.60124
1742400	4232.30199
1746000	4561.48105
1749600	5501.992615
1753200	7994.348215
1756800	7915.97226
1760400	7492.742075
1764000	7633.81878
1767600	7508.417245
1771200	7273.28938
1774800	7085.18706
1778400	7022.486275
1782000	6865.734365
1785600	6850.05916
1789200	6912.759945
1792800	7194.91339
1796400	7414.366085
1800000	7508.417245
1803600	7461.391665
1807200	7226.2638
1810800	6630.606465
1814400	5909.547595
1818000	4342.028355
1821600	5729.82095
1825200	5907.489805
1828800	5996.32425
1832400	6462.70499
1836000	7795.22149
1839600	11326.39022
1843200	11215.34719
1846800	10615.71476
1850400	10815.59224
1854000	10637.92338
1857600	10304.79426
1861200	10038.29096
1864800	9949.45651
1868400	9727.370415
1872000	9705.16183
1875600	9793.99624
1879200	10193.75119
1882800	10504.67173
1886400	10637.92338
1890000	10571.29756
1893600	10238.16843
1897200	9394.24129
1900800	8372.64533
1904400	6151.784485
1908000	6272.05908
1911600	6466.541515
1915200	6563.78275
1918800	7074.29919
1922400	8532.917575
1926000	12398.25633
1929600	12276.70479
1933200	11620.32652
1936800	11839.11929
1940400	11644.63682
1944000	11279.98221
1947600	10988.25854
1951200	10891.01731
1954800	10647.91424
1958400	10623.60394
1962000	10720.84517
1965600	11158.43068
1969200	11498.77498
1972800	11644.63682
1976400	11571.70592
1980000	11207.05131
1983600	10283.25967
1987200	9164.98555
1990800	6733.95492
1994400	5210.871085
1998000	5543.4799
2001600	5632.17557
2005200	6075.653955
2008800	7516.958715
2012400	11220.00327
2016000	11175.65544
2019600	10865.22059
2023200	10754.35099
2026800	10532.61178
2030400	10244.35083
2034000	9889.568115
2037600	9800.872445
2041200	9778.69851
2044800	9823.046345
2048400	9911.74205
2052000	10333.0465
2055600	10687.82922
2059200	10909.56843
2062800	10887.39449
2066400	10643.48138
2070000	9734.350675
2073600	8403.91552
2077200	6164.349625
2080800	5123.818805
2084400	5282.696895
2088000	5362.13594
2091600	5779.19097
2095200	6970.77675
2098800	10128.47903
2102400	10029.18021
2106000	9492.96663
2109600	9671.70449
2113200	9512.826365
2116800	9214.92992
2120400	8976.612785
2124000	8897.17374
2127600	8698.57611
2131200	8678.71634
2134800	8758.155385
2138400	9115.631105
2142000	9393.667815
2145600	9512.826365
2149200	9453.24709
2152800	9155.350645
2156400	8400.679665
2160000	7487.13056
2163600	5501.154295
2167200	5897.67374
2170800	6080.54734
2174400	6171.98414
2178000	6652.02734
2181600	8023.579375
2185200	11658.19228
2188800	11543.89625
2192400	10926.69785
2196000	11132.43065
2199600	10949.55705
2203200	10606.66905
2206800	10332.35865
2210400	10240.92185
2214000	10012.32981
2217600	9989.47061
2221200	10080.90745
2224800	10492.37305
2228400	10812.40185
2232000	10949.55705
2235600	10880.97945
2239200	10538.09145
2242800	9669.44181
2246400	8617.91861
2250000	6331.99854
2253600	6120.93622
2257200	6310.732715
2260800	6405.630945
2264400	6903.84667
