#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
1940400	3783.79552
1944000	3666.04255
1947600	3501.18839
1951200	3446.237
1954800	3414.83621
1958400	3516.88878
1962000	3579.69037
1965600	3775.94532
1969200	3838.74691
1972800	3854.4473
1976400	3799.49592
1980000	3658.19235
1983600	3249.98205
1987200	2496.36302
1990800	2135.2539
1994400	1622.14231
1998000	1671.51186
2001600	1713.82862
2005200	1847.83168
2008800	2200.47131
2012400	3166.70391
2016000	4069.46137
2019600	3787.34966
2023200	3596.92426
2026800	3441.76282
2030400	3279.54859
2034000	3159.65111
2037600	3089.12319
2041200	3082.0704
2044800	3145.54553
2048400	3230.17904
2052000	3392.39327
2055600	3533.44913
2059200	3568.71309
2062800	3561.6603
2066400	3420.60444
2070000	3032.70085
2073600	2179.31293
2077200	1734.987
2080800	1620.50576
2084400	1645.2463
2088000	1694.72739
2091600	1787.50444
2095200	2059.65045
2098800	2659.60868
2102400	3408.0102
2106000	3154.4196
2109600	3074.01283
2113200	2981.23578
2116800	2888.45873
2120400	2758.57087
2124000	2715.27491
2127600	2690.53437
2131200	2770.94114
2134800	2820.42223
2138400	2975.05064
2142000	3024.53174
2145600	3036.90201
2149200	2993.60605
2152800	2882.2736
2156400	2560.6465
2160000	1966.8734
2163600	1682.35712
2167200	1915.10699
2170800	1944.34526
2174400	2002.82181
2178000	2112.46534
2181600	2434.08636
2185200	3143.11452
2188800	4027.57233
2192400	3727.88001
2196000	3632.85562
2199600	3523.21209
2203200	3413.56856
2206800	3260.06762
2210400	3208.90064
2214000	3179.66236
2217600	3274.68676
2221200	3333.1633
2224800	3515.90252
2228400	3574.37907
2232000	3588.99821
2235600	3537.83123
2239200	3406.25899
2242800	3026.16142
2246400	2324.44283
2250000	1988.20267
2253600	1999.74534
2257200	2030.2758
2260800	2091.33673
2264400	2205.82596
2268000	2541.66106
2271600	3282.02479
2275200	4205.5713
2278800	3892.63406
2282400	3793.41005
2286000	3678.92081
2289600	3564.43158
2293200	3404.14664
2296800	3350.71833
2300400	3320.18787
2304000	3419.41188
2307600	3480.4728
2311200	3671.2882
2314800	3732.34912
2318400	3747.61436
2322000	3694.18604
2325600	3556.79896
2329200	3159.90294
2332800	2427.17182
2336400	2076.0715
2340000	1643.97018
2343600	1694.00406
2347200	1736.89023
